hilt,color,opcode_family,platform,index,ignite_byte,refresh_byte,extinguish_byte,clash_byte,ignition_ms,extdelay_ms,extinguish_ms,refresh_cadence_ms,cadence_n,capture_date,notes
Savi's Workshop,White,Savi,Savi's Workshop,0,0x20,0xA0,0x40,0xC0,172.0,478.0,255.0,705.8,57.0,2026-08-28,"All bytes captured. Cadence measured on purple, hilt-wide: 705.8 (n=57) vs 738.86 May (n=30) — condition-dependent range ~706-739. Take1 226ms ignition was a one-off."
Savi's Workshop,Red,Savi,Savi's Workshop,1,0x21,0xA1,0x41,0xC0,173.0,992.0,260.0,705.8,57.0,2026-08-28,992ms = longest ExtDelay in repo (red-family long-tail pattern).
Savi's Workshop,Orange,Savi,Savi's Workshop,2,0x22,0xA2,0x42,0xC0,174.0,55.0,168.0,705.8,57.0,2026-08-28,Stock blade folds to yellow (3.5). Near-zero ExtDelay like Cal yellow.
Savi's Workshop,Yellow,Savi,Savi's Workshop,3,0x23,0xA3,0x43,0xC0,174.0,60.0,162.0,705.8,57.0,2026-08-29,"Captured 2026-08-29 (yellow Kyber converted from another crystal). Bytes 0x23/0xA3/0x43 MEASURED (were derived via Cal Kestis). Timings from 1MHz arc savis-yellow-8ch-ignite-clash-ext-1MHz-2026-08-29.dsl. ExtDelay 60 = yellow-slot near-zero signature (cf orange 55, Cal yellow 40). Clash 0xC0 x4 confirmed; gates R+G equal 59.8% = yellow. Shares hilt cadence 705.8 (n=57). Program = Temple Guard G1; protocol is character-independent (FINDINGS §2.1, verified vs Rey G2 same-tag + green Qui-Gon/Yoda different-tag)."
Savi's Workshop,Green,Savi,Savi's Workshop,4,0x24,0xA4,0x44,0xC0,172.0,312.0,258.0,705.8,57.0,2026-08-28,All bytes captured.
Savi's Workshop,Teal,Savi,Savi's Workshop,5,0x25,0xA5,0x45,0xC0,173.0,462.0,258.0,705.8,57.0,2026-08-28,Stock blade folds to blue (3.5). Same slot Kanan borrows for extinguish.
Savi's Workshop,Blue,Savi,Savi's Workshop,6,0x26,0xA6,0x46,0xC0,174.0,460.0,260.0,705.8,57.0,2026-08-28,All bytes captured.
Savi's Workshop,Purple,Savi,Savi's Workshop,7,0x27,0xA7,0x47,0xC0,172.0,482.0,430.0,705.8,57.0,2026-08-28,All bytes captured. Cadence anchor crystal.
Cal Kestis,Blue,Savi,Legacy character,6,0x26,0xA6,0x46,0xC0,174.0,398.0,208.0,1002.0,12.0,2026-08-28,Ignite 0x26 CAPTURED 08-28 (was derived). Timings from May. Cadence ~1002 (08-28; May 997). 1:1 clash.
Cal Kestis,Green,Savi,Legacy character,4,0x24,0xA4,0x44,0xC0,172.0,295.0,265.0,1002.0,12.0,2026-05-09,Hybrid: Savi opcodes for this color. Bytes derived (cycle-consistent).
